"","county","lat","lon","bachelor_degree","per_capita_income"
"239","Box Elder, UT",41.5026,-112.9735,23.7,45456
"240","Boyd, KY",38.3696,-82.6985,20.19,46039
"241","Boyd, NE",42.8802,-98.6249,18.27,74685
"242","Boyle, KY",37.6248,-84.8608,25.84,46181
"243","Bracken, KY",38.7151,-84.0765,12.5,44913
"244","Bradford, FL",29.9315,-82.2143,10.28,39748
"245","Bradford, PA",41.7731,-76.5107,18.67,49063
"246","Bradley, AR",33.4342,-92.1667,13.83,46734
"247","Bradley, TN",35.1731,-84.8524,23.49,46409
"248","Branch, MI",41.9159,-85.0588,15,45325
"249","Brantley, GA",31.1925,-82.0272,6.86,35435
"250","Braxton, WV",38.7116,-80.7316,14.04,41547
"251","Brazoria, TX",29.2123,-95.5313,31.09,56360
"252","Brazos, TX",30.6529,-96.3806,41.41,46702
"253","Breathitt, KY",37.5153,-83.3353,16.06,39754
"254","Breckinridge, KY",37.8123,-86.4205,14.42,42724
"255","Bremer, IA",42.7701,-92.3182,33.01,57876
"256","Brevard, FL",28.3079,-80.7834,30.91,55477
"257","Brewster, TX",29.8231,-103.0823,40.76,53014
"258","Briscoe, TX",34.535,-101.2086,17.5,58862
"259","Bristol Bay Borough, AK",58.753,-156.6908,25.85,155155
"260","Bristol, MA",41.7892,-71.2278,29.18,64924
"261","Bristol, RI",41.702,-71.2699,49.18,87810
"262","Broadwater, MT",46.3095,-111.4521,27.17,47541
"263","Bronx, NY",40.856,-73.8664,20.31,46834
"264","Brooke, WV",40.2763,-80.5678,20.16,50271
"265","Brookings, SD",44.3681,-96.7905,42.25,53860
"266","Brooks, GA",30.8589,-83.5455,16.49,40982
"267","Brooks, TX",27.0383,-98.2019,16.39,43437
"268","Broome, NY",42.2087,-75.8619,28.8,50657
"269","Broomfield, CO",39.9663,-105.0363,56.06,73678
"270","Broward, FL",26.1511,-80.4895,33.12,64453
"271","Brown, IL",39.973,-90.7126,12.84,44740
"272","Brown, IN",39.1969,-86.2264,29.34,55345
"273","Brown, KS",39.8201,-95.5642,19.15,51906
"274","Brown, MN",44.3034,-94.6524,22.62,60615
"275","Brown, NE",42.4671,-99.9296,24.21,63598
"276","Brown, OH",38.9532,-83.8542,14.31,45795
"277","Brown, SD",45.5899,-98.3509,31.71,66044
"278","Brown, TX",31.7664,-98.958,20.1,46028
"279","Brown, WI",44.4646,-87.9779,30.33,59279
"280","Brule, SD",43.7182,-99.101,26.5,59267
"281","Brunswick, NC",34.1198,-78.2512,29.47,55361
"282","Brunswick, VA",36.7851,-77.8417,14.84,40151
"283","Bryan, GA",31.9846,-81.4508,32.96,54772
"284","Bryan, OK",33.9223,-96.246,22.64,43871
"285","Buchanan, IA",42.4728,-91.845,22.09,57200
"286","Buchanan, MO",39.6759,-94.8051,21.88,46362
"287","Buchanan, VA",37.2884,-82.0618,11.79,44003
"288","Buckingham, VA",37.5633,-78.5588,12.65,37220
"289","Bucks, PA",40.3311,-75.1338,42.23,83011
"290","Buena Vista, IA",42.7359,-95.1507,20.8,49006
"291","Buffalo, NE",40.8486,-99.074,33.76,61763
"292","Buffalo, SD",44.0651,-99.2264,8.07,32773
"293","Buffalo, WI",44.3147,-91.722,19.14,53031
"294","Bullitt, KY",37.9623,-85.7158,15.66,50169
"295","Bulloch, GA",32.4037,-81.7281,27.61,37901
"296","Bullock, AL",32.0945,-85.7131,10.27,33267
"297","Buncombe, NC",35.6207,-82.5391,41.39,57895
"298","Bureau, IL",41.3661,-89.5108,20.69,51269
"299","Burke, GA",33.0511,-81.9246,14.47,41870
"300","Burke, NC",35.7795,-81.7535,16.74,44798
"301","Burke, ND",48.7725,-102.546,21.65,72515
"302","Burleigh, ND",46.9823,-100.5255,36.53,66017
"303","Burleson, TX",30.5133,-96.6354,21.28,57482
"304","Burlington, NJ",39.8671,-74.6832,38.46,69496
"305","Burnet, TX",30.7338,-98.1859,26.75,59381
"306","Burnett, WI",45.8994,-92.363,21.07,49108
"307","Burt, NE",41.8649,-96.3464,22.33,56557
"308","Butler, AL",31.7404,-86.6759,15.96,46050
"309","Butler, IA",42.7342,-92.7904,18.16,57604
"310","Butler, KS",37.787,-96.8395,30.44,51643
"311","Butler, KY",37.1976,-86.6579,13.95,43937
"312","Butler, MO",36.7128,-90.3906,13,43194
"313","Butler, NE",41.2578,-97.1385,23.75,59717
"314","Butler, OH",39.444,-84.5771,31.26,55636
"315","Butler, PA",40.9272,-79.9263,37.51,67203
"316","Butte, CA",39.7252,-121.5788,28.32,54694
"317","Butte, ID",43.7614,-113.0807,17.18,48844
"318","Butte, SD",44.8942,-103.5074,21.47,45885
"319","Butts, GA",33.3124,-83.948,11.09,41657
"320","Cabarrus, NC",35.3455,-80.5464,33.52,53647
"321","Cabell, WV",38.413,-82.2762,27.1,49866
"322","Cache, UT",41.6848,-111.7322,38.48,47269
"323","Caddo, OK",35.2039,-98.3564,15.17,45452
"324","Calaveras, CA",38.1718,-120.6567,19.82,57726
"325","Caldwell, KY",37.1651,-87.8705,16.81,44963
"326","Caldwell, MO",39.6568,-93.9822,15.03,45802
"327","Caldwell, NC",35.9399,-81.5596,15.84,43856
"328","Caldwell, TX",29.8519,-97.6266,14.79,41642
"329","Caledonia, VT",44.4632,-72.1084,30.67,50533
"330","Calhoun, AL",33.7625,-85.8417,18.86,42621
"331","Calhoun, AR",33.5364,-92.5485,10.71,45401
"332","Calhoun, FL",30.4039,-85.2086,9.06,35792
"333","Calhoun, GA",31.5358,-84.6324,11.85,34306
"334","Calhoun, IA",42.3806,-94.6272,19.7,57289
"335","Calhoun, IL",39.1343,-90.6554,15.7,55240
"336","Calhoun, MI",42.2445,-85.0069,21.46,47789
"337","Calhoun, MS",33.9406,-89.3227,11.28,43222
"338","Calhoun, SC",33.6735,-80.7857,18.81,50375
"339","Calhoun, TX",28.5138,-96.695,17.51,60589
"340","Calhoun, WV",38.8292,-81.1142,12.23,41444
"341","Callahan, TX",32.2983,-99.3739,22.44,50963
"342","Callaway, MO",38.8109,-91.8934,23.45,46191
"343","Calloway, KY",36.6237,-88.2703,31.98,44116
"344","Calumet, WI",44.0612,-88.2235,29.9,57182
"345","Calvert, MD",38.5432,-76.5914,34.2,70690
"346","Camas, ID",43.5285,-114.836,22.1,62248
"347","Cambria, PA",40.485,-78.7333,21.97,49472
"348","Camden, GA",30.9392,-81.677,22.5,42945
"349","Camden, MO",38.0296,-92.7914,22.25,53779
"350","Camden, NC",36.3576,-76.171,19.9,55457
"351","Camden, NJ",39.8025,-74.9898,32.25,61642
"352","Cameron, PA",41.4116,-78.2044,10.78,54352
"353","Cameron, TX",26.1073,-97.5787,18.15,37861
"354","Camp, TX",32.99,-94.9935,21.88,46705
"355","Campbell, KY",38.962,-84.3659,37.47,58701
"356","Campbell, SD",45.7701,-100.034,28.27,79723
"357","Campbell, TN",36.3853,-84.1333,12.95,42471
"358","Campbell, WY",44.2546,-105.5503,19.75,56008
"359","Canadian, OK",35.5264,-97.9889,28.38,50309
"360","Candler, GA",32.4128,-82.0614,11.35,40988
"361","Cannon, TN",35.8086,-86.0519,16.33,44419
"362","Canyon, ID",43.5865,-116.6532,20.16,41980
"363","Cape Girardeau, MO",37.3671,-89.644,31.87,48732
"364","Cape May, NJ",39.1268,-74.8257,33.55,72010
"365","Carbon, MT",45.3168,-109.1433,31.51,59715
"366","Carbon, PA",40.9346,-75.7493,17.92,59317
"367","Carbon, UT",39.641,-110.6021,16.76,45120
"368","Carbon, WY",41.7236,-106.7915,20.48,64804
"369","Caribou, ID",42.7202,-111.5787,17.52,47740
"370","Carlisle, KY",36.8632,-88.9716,14.28,52638
"371","Carlton, MN",46.6091,-92.6775,22.59,49797
"372","Caroline, MD",38.8895,-75.8358,18.96,53549
"373","Caroline, VA",38.0149,-77.3703,21.84,49650
"374","Carroll, AR",36.3108,-93.5564,21.23,40689
"375","Carroll, GA",33.6142,-85.1175,22.07,47002
"376","Carroll, IA",42.0384,-94.8606,23.42,60290
"377","Carroll, IL",42.0636,-89.9257,19.73,49976
"378","Carroll, IN",40.5879,-86.5729,15.36,51293
"379","Carroll, KY",38.6688,-85.1085,7.44,45317
"380","Carroll, MD",39.5348,-77.0131,36.95,69397
"381","Carroll, MO",39.4112,-93.4723,17.71,54784
"382","Carroll, MS",33.4438,-89.9616,14.52,44908
"383","Carroll, NH",43.882,-71.277,36.97,69803
"384","Carroll, OH",40.5787,-81.0919,13.21,48319
"385","Carroll, TN",35.9663,-88.4557,18.75,40502
"386","Carson City, NV",39.1679,-119.7232,22.86,60445
"387","Carson, TX",35.3997,-101.3546,27.91,56357
"388","Carter, KY",38.3367,-83.0088,13.81,39323
"389","Carter, MO",36.9581,-90.9582,15.16,45237
"390","Carter, MT",45.5708,-104.5117,21.14,39354
"391","Carter, OK",34.2927,-97.248,20.2,48733
"392","Carter, TN",36.3073,-82.1558,18.47,40739
"393","Carteret, NC",34.8384,-76.6488,28.54,60741
"394","Carver, MN",44.8101,-93.7653,49.11,80562
"395","Cascade, MT",47.266,-111.4165,27.32,53765
"396","Casey, KY",37.3273,-84.9335,11.21,40837
"397","Cass, IA",41.335,-94.9277,23,55056
"398","Cass, IL",39.9992,-90.2462,15.98,48959
"399","Cass, IN",40.7369,-86.3737,12.99,47854
"400","Cass, MI",41.9156,-85.9918,20.7,56042
"401","Cass, MN",46.8828,-94.2174,25.05,56491
"402","Cass, MO",38.6442,-94.364,27,54020
"403","Cass, ND",46.9355,-97.2363,40.78,65803
"404","Cass, NE",40.9287,-96.1512,29.38,60920
"405","Cass, TX",33.101,-94.3483,18.31,46101
"406","Cassia, ID",42.3415,-113.6441,19.42,47780
"407","Castro, TX",34.5304,-102.2618,16.45,81900
"408","Caswell, NC",36.3928,-79.3352,15.81,42247
"409","Catawba, NC",35.6888,-81.2042,23.06,53333
"410","Catoosa, GA",34.8771,-85.1438,23.05,42448
"411","Catron, NM",33.9034,-108.3815,16.66,37990
"412","Cattaraugus, NY",42.2766,-78.6848,19.91,46775
"413","Cavalier, ND",48.7761,-98.4753,22.76,88700
"414","Cayuga, NY",43.0195,-76.6022,21.97,51431
"415","Cecil, MD",39.5427,-75.9237,25.27,55293
"416","Cedar, IA",41.7722,-91.1322,21.04,63197
"417","Cedar, MO",37.7342,-93.8397,13.74,36748
"418","Cedar, NE",42.609,-97.2505,20.96,66572
"419","Centre, PA",40.9728,-77.8043,45.77,54994
"420","Cerro Gordo, IA",43.0793,-93.2608,23.2,56955
"421","Chaffee, CO",38.7407,-106.1828,35.53,60550
"422","Chambers, AL",32.9225,-85.3942,14.44,39728
"423","Chambers, TX",29.7071,-94.5223,22.48,60591
"424","Champaign, IL",40.1363,-88.2017,45.04,54638
"425","Champaign, OH",40.1413,-83.7643,15.89,50151
"426","Chariton, MO",39.4648,-92.9621,18.46,51590
"427","Charles City, VA",37.3618,-77.0793,16.22,58882
"428","Charles Mix, SD",43.1697,-98.475,20.23,50673
"429","Charles, MD",38.4864,-77.1515,29.99,63939
"430","Charleston, SC",32.7585,-80.1952,45.3,73032
"431","Charlevoix, MI",45.2443,-85.059,32.37,62505
"432","Charlotte, FL",26.9023,-81.8292,23.83,51677
"433","Charlotte, VA",36.9742,-78.6045,13.9,43870
"434","Charlton, GA",30.7162,-82.1044,12.81,30916
"435","Chase, KS",38.3061,-96.5966,27.1,64717
"436","Chase, NE",40.5299,-101.698,22.2,69366
"437","Chatham, GA",32.0419,-81.1414,34.36,54586
"438","Chatham, NC",35.678,-79.2599,43.69,75624
"439","Chattahoochee, GA",32.378,-84.8,26.99,39690
"440","Chattooga, GA",34.4379,-85.337,9.72,36833
"441","Chautauqua, KS",37.1503,-96.2448,14.51,45394
"442","Chautauqua, NY",42.2858,-79.3876,23.06,47642
"443","Chaves, NM",33.3103,-104.326,17.68,45577
"444","Cheatham, TN",36.2485,-87.0841,20.5,54069
"445","Cheboygan, MI",45.4927,-84.4897,21.83,48078
"446","Chelan, WA",47.9098,-120.5391,26.37,62792
"447","Chemung, NY",42.1465,-76.7623,23.55,52360
"448","Chenango, NY",42.4711,-75.6351,18.97,50568
"449","Cherokee, AL",34.2345,-85.6478,12.93,43719
"450","Cherokee, GA",34.2442,-84.4561,36.92,60235
"451","Cherokee, IA",42.742,-95.6238,22.71,61661
"452","Cherokee, KS",37.1699,-94.8463,19.95,51492
"453","Cherokee, NC",35.1398,-84.0769,21.86,40485
"454","Cherokee, OK",35.9006,-95.0432,27.48,40638
"455","Cherokee, SC",35.0121,-81.6338,14.38,40230
"456","Cherokee, TX",31.7826,-95.1853,17.43,43376
"457","Cherry, NE",42.5459,-101.125,23.91,55302
"458","Cheshire, NH",42.9472,-72.2973,33.71,64870
"459","Chester, PA",39.9818,-75.7096,54.21,95483
"460","Chester, SC",34.682,-81.1658,13.71,43169
"461","Chester, TN",35.4232,-88.6014,15.94,41568
"462","Chesterfield, SC",34.5923,-80.096,12.39,39538
"463","Chesterfield, VA",37.3899,-77.6298,40.05,61200
"464","Cheyenne, CO",38.8243,-102.6046,23.46,76057
"465","Cheyenne, KS",39.7879,-101.7307,26.01,65154
"466","Cheyenne, NE",41.2207,-102.9933,25.45,52730
"467","Chickasaw, IA",43.0488,-92.3177,17.8,64737
"468","Chickasaw, MS",33.9062,-88.929,12.47,41179
"469","Chicot, AR",33.2843,-91.295,14.64,47402
"470","Childress, TX",34.5307,-100.2067,18.76,39953
"471","Chilton, AL",32.8658,-86.665,13.62,41748
"472","Chippewa, MI",46.357,-84.6847,22.62,42943
"473","Chippewa, MN",44.9523,-95.5279,19.68,57395
"474","Chippewa, WI",45.0767,-91.2876,22.11,53415
"475","Chisago, MN",45.5139,-92.8742,22.25,57574
"476","Chittenden, VT",44.4425,-73.0527,52.61,67921
"477","Choctaw, AL",32.0048,-88.286,13.52,44241
"478","Choctaw, MS",33.3084,-89.2711,20.35,40804
"479","Choctaw, OK",34.0129,-95.5473,13.53,40395
"480","Chouteau, MT",47.8648,-110.474,29.04,39287
"481","Chowan, NC",36.1793,-76.6506,21.69,50460
