"","county","FIPS","state","bachelor_degree","per_capita_income"
"1952","Murray, GA",13213,"GA",10.61,37264
"1953","Murray, MN",27101,"MN",20.77,63623
"1954","Murray, OK",40099,"OK",18.53,48831
"1955","Muscatine, IA",19139,"IA",21.83,53861
"1956","Muscogee, GA",13215,"GA",27.49,49091
"1957","Muskegon, MI",26121,"MI",19.74,46701
"1958","Muskingum, OH",39119,"OH",17.47,49160
"1959","Muskogee, OK",40101,"OK",19.78,43699
"1960","Musselshell, MT",30065,"MT",17.65,49553
"1961","Nacogdoches, TX",48347,"TX",24.44,46246
"1962","Nance, NE",31125,"NE",18.35,55096
"1963","Nantucket, MA",25019,"MA",47.5,101902
"1964","Napa, CA",6055,"CA",37.2,90608
"1965","Nash, NC",37127,"NC",21.18,50714
"1966","Nassau, FL",12089,"FL",30.48,70010
"1967","Nassau, NY",36059,"NY",46.74,99597
"1968","Natrona, WY",56025,"WY",23.52,70175
"1969","Navajo, AZ",4017,"AZ",16.11,41680
"1970","Navarro, TX",48349,"TX",16.98,45616
"1971","Nelson, KY",21179,"KY",19.31,51367
"1972","Nelson, ND",38063,"ND",26.16,70971
"1973","Nelson, VA",51125,"VA",30.88,63085
"1974","Nemaha, KS",20131,"KS",26.87,60858
"1975","Nemaha, NE",31127,"NE",28.04,56823
"1976","Neosho, KS",20133,"KS",20,47902
"1977","Neshoba, MS",28099,"MS",13.64,43915
"1978","Ness, KS",20135,"KS",21.85,66087
"1979","Nevada, AR",5099,"AR",11.88,39041
"1980","Nevada, CA",6057,"CA",37.57,68973
"1981","New Castle, DE",10003,"DE",36.66,63189
"1982","New Hanover, NC",37129,"NC",42.23,57693
"1983","New Haven, CT",9009,"CT",35.98,64643
"1984","New Kent, VA",51127,"VA",32.07,90086
"1985","New London, CT",9011,"CT",34.38,63877
"1986","New Madrid, MO",29143,"MO",12.01,49093
"1987","New York, NY",36061,"NY",62.18,195543
"1988","Newaygo, MI",26123,"MI",17.18,44597
"1989","Newberry, SC",45071,"SC",19.16,46917
"1990","Newport, RI",44005,"RI",49.72,84054
"1991","Newton, AR",5101,"AR",15.87,38629
"1992","Newton, GA",13217,"GA",20.86,42056
"1993","Newton, IN",18111,"IN",11.94,51905
"1994","Newton, MO",29145,"MO",21.62,45190
"1995","Newton, MS",28101,"MS",16.52,41367
"1996","Newton, TX",48351,"TX",8.8,43123
"1997","Nez Perce, ID",16069,"ID",24.11,50993
"1998","Niagara, NY",36063,"NY",25.61,53137
"1999","Nicholas, KY",21181,"KY",8.91,41414
"2000","Nicholas, WV",54067,"WV",17.75,40915
"2001","Nicollet, MN",27103,"MN",34.39,56992
"2002","Niobrara, WY",56027,"WY",17.2,53797
"2003","Noble, IN",18113,"IN",15.42,48060
"2004","Noble, OH",39121,"OH",11.04,32713
"2005","Noble, OK",40103,"OK",21.83,51172
"2006","Nobles, MN",27105,"MN",16.28,54479
"2007","Nodaway, MO",29147,"MO",27.36,39258
"2008","Nolan, TX",48353,"TX",15.06,52629
"2009","Nome Census Area, AK",2180,"AK",16.96,58882
"2010","Norfolk, MA",25021,"MA",54.56,104059
"2011","Norman, MN",27107,"MN",21.41,56502
"2012","North Slope Borough, AK",2185,"AK",15.13,73320
"2013","Northampton, NC",37131,"NC",15.11,46742
"2014","Northampton, PA",42095,"PA",31.84,63256
"2015","Northampton, VA",51131,"VA",26.15,63928
"2016","Northumberland, PA",42097,"PA",17.86,49525
"2017","Northumberland, VA",51133,"VA",32.61,63005
"2018","Northwest Arctic Borough, AK",2188,"AK",15.03,52915
"2019","Norton, KS",20137,"KS",19.48,51714
"2020","Nottoway, VA",51135,"VA",15.52,42851
"2021","Nowata, OK",40105,"OK",13.5,46337
"2022","Noxubee, MS",28103,"MS",11.94,44360
"2023","Nuckolls, NE",31129,"NE",23.5,68062
"2024","Nueces, TX",48355,"TX",21.68,52852
"2025","Nye, NV",32023,"NV",12.39,42796
"2026","O'Brien, IA",19141,"IA",21.79,61882
"2027","Oakland, MI",26125,"MI",47.96,80962
"2028","Obion, TN",47131,"TN",15.49,48493
"2029","Ocean, NJ",34029,"NJ",31.35,60823
"2030","Oceana, MI",26127,"MI",19.65,46015
"2031","Ochiltree, TX",48357,"TX",16.69,64247
"2032","Oconee, GA",13219,"GA",50.56,76403
"2033","Oconee, SC",45073,"SC",27.36,52336
"2034","Oconto, WI",55083,"WI",17.02,53114
"2035","Ogemaw, MI",26129,"MI",12.3,42781
"2036","Oglala Lakota, SD",46102,"SD",11.06,34333
"2037","Ogle, IL",17141,"IL",21.76,53050
"2038","Oglethorpe, GA",13221,"GA",19.58,43517
"2039","Ohio, IN",18115,"IN",14.41,51321
"2040","Ohio, KY",21183,"KY",13,41201
"2041","Ohio, WV",54069,"WV",31.58,61486
"2042","Okaloosa, FL",12091,"FL",32.17,59384
"2043","Okanogan, WA",53047,"WA",20.23,50517
"2044","Okeechobee, FL",12093,"FL",14.32,39747
"2045","Okfuskee, OK",40107,"OK",11.38,37839
"2046","Oklahoma, OK",40109,"OK",33.09,63151
"2047","Okmulgee, OK",40111,"OK",14.16,41808
"2048","Oktibbeha, MS",28105,"MS",42.87,38463
"2049","Oldham, KY",21185,"KY",43.03,73110
"2050","Oldham, TX",48359,"TX",26.81,72126
"2051","Oliver, ND",38065,"ND",19.64,63441
"2052","Olmsted, MN",27109,"MN",46.69,65959
"2053","Oneida, ID",16071,"ID",22.19,44887
"2054","Oneida, NY",36065,"NY",26.64,53172
"2055","Oneida, WI",55085,"WI",26.34,55861
"2056","Onondaga, NY",36067,"NY",36.14,60992
"2057","Onslow, NC",37133,"NC",23.58,50869
"2058","Ontario, NY",36069,"NY",35.81,62051
"2059","Ontonagon, MI",26131,"MI",15.25,47563
"2060","Orange, CA",6059,"CA",41.25,81034
"2061","Orange, FL",12095,"FL",35.41,54979
"2062","Orange, IN",18117,"IN",12.93,43422
"2063","Orange, NC",37135,"NC",60.85,74994
"2064","Orange, NY",36071,"NY",30.78,58883
"2065","Orange, TX",48361,"TX",15.99,48912
"2066","Orange, VA",51137,"VA",25.71,57849
"2067","Orange, VT",50017,"VT",31.95,55573
"2068","Orangeburg, SC",45075,"SC",19.48,42376
"2069","Oregon, MO",29149,"MO",14.89,42966
"2070","Orleans, NY",36073,"NY",16.31,46322
"2071","Orleans, VT",50019,"VT",24.2,51960
"2072","Osage, KS",20139,"KS",19.45,50353
"2073","Osage, MO",29151,"MO",20.44,52701
"2074","Osage, OK",40113,"OK",19.33,42015
"2075","Osborne, KS",20141,"KS",21.03,55815
"2076","Osceola, FL",12097,"FL",23.2,43354
"2077","Osceola, IA",19143,"IA",15.01,55063
"2078","Osceola, MI",26133,"MI",15.01,45167
"2079","Oscoda, MI",26135,"MI",12.01,39929
"2080","Oswego, NY",36075,"NY",20.08,48574
"2081","Otero, CO",8089,"CO",20.55,42752
"2082","Otero, NM",35035,"NM",18.87,41657
"2083","Otoe, NE",31131,"NE",25.4,63569
"2084","Otsego, MI",26137,"MI",25.57,49320
"2085","Otsego, NY",36077,"NY",33.37,53431
"2086","Ottawa, KS",20143,"KS",23.93,50373
"2087","Ottawa, MI",26139,"MI",35.08,56076
"2088","Ottawa, OH",39123,"OH",23.92,61102
"2089","Ottawa, OK",40115,"OK",15.26,45484
"2090","Otter Tail, MN",27111,"MN",25.9,55698
"2091","Ouachita, AR",5103,"AR",13.45,46428
"2092","Ouray, CO",8091,"CO",49.07,76727
"2093","Outagamie, WI",55087,"WI",30.02,58622
"2094","Overton, TN",47133,"TN",12.51,40959
"2095","Owen, IN",18119,"IN",14.67,48681
"2096","Owen, KY",21187,"KY",16.31,39661
"2097","Owsley, KY",21189,"KY",14.48,45731
"2098","Owyhee, ID",16073,"ID",12.51,43713
"2099","Oxford, ME",23017,"ME",20.63,45332
"2100","Ozark, MO",29153,"MO",11.7,38401
"2101","Ozaukee, WI",55089,"WI",49.64,92719
"2102","Pacific, WA",53049,"WA",20.26,46597
"2103","Page, IA",19145,"IA",20.3,52069
"2104","Page, VA",51139,"VA",14.32,47157
"2105","Palm Beach, FL",12099,"FL",37.11,100627
"2106","Palo Alto, IA",19147,"IA",24.78,56973
"2107","Palo Pinto, TX",48363,"TX",18.08,52042
"2108","Pamlico, NC",37137,"NC",21.53,53355
"2109","Panola, MS",28107,"MS",16.33,42074
"2110","Panola, TX",48365,"TX",15.56,53292
"2111","Park, CO",8093,"CO",32.56,57127
"2112","Park, MT",30067,"MT",32.06,59558
"2113","Park, WY",56029,"WY",34.87,65944
"2114","Parke, IN",18121,"IN",12.47,48252
"2115","Parker, TX",48367,"TX",26.7,65358
"2116","Parmer, TX",48369,"TX",15.09,63512
"2117","Pasco, FL",12101,"FL",24.63,50479
"2118","Pasquotank, NC",37139,"NC",23.3,47034
"2119","Passaic, NJ",34031,"NJ",29.53,59559
"2120","Patrick, VA",51141,"VA",14.91,39564
"2121","Paulding, GA",13223,"GA",23.89,47381
"2122","Paulding, OH",39125,"OH",15.91,48972
"2123","Pawnee, KS",20145,"KS",18.96,48441
"2124","Pawnee, NE",31133,"NE",15.59,58774
"2125","Pawnee, OK",40117,"OK",17.65,43859
"2126","Payette, ID",16075,"ID",16.38,45796
"2127","Payne, OK",40119,"OK",37.83,43952
"2128","Peach, GA",13225,"GA",22.01,43641
"2129","Pearl River, MS",28109,"MS",14.64,43214
"2130","Pecos, TX",48371,"TX",11.55,43661
"2131","Pembina, ND",38067,"ND",21.51,75974
"2132","Pemiscot, MO",29155,"MO",11.99,46840
"2133","Pend Oreille, WA",53051,"WA",21.07,51623
"2134","Pender, NC",37141,"NC",28.97,48665
"2135","Pendleton, KY",21191,"KY",14.17,51933
"2136","Pendleton, WV",54071,"WV",17.93,50144
"2137","Pennington, MN",27113,"MN",19.75,65416
"2138","Pennington, SD",46103,"SD",31.69,64035
"2139","Penobscot, ME",23019,"ME",28.58,50480
"2140","Peoria, IL",17143,"IL",31.1,57439
"2141","Pepin, WI",55091,"WI",20.05,57620
"2142","Perkins, NE",31135,"NE",26.53,87847
"2143","Perkins, SD",46105,"SD",20.81,50692
"2144","Perquimans, NC",37143,"NC",19.56,51577
"2145","Perry, AL",1105,"AL",17.82,40414
"2146","Perry, AR",5105,"AR",17.82,43793
"2147","Perry, IL",17145,"IL",11.64,43777
"2148","Perry, IN",18123,"IN",15.99,42358
"2149","Perry, KY",21193,"KY",14.35,44108
"2150","Perry, MO",29157,"MO",19.12,48474
"2151","Perry, MS",28111,"MS",10.19,40243
"2152","Perry, OH",39127,"OH",13.04,46028
"2153","Perry, PA",42099,"PA",18.45,53700
"2154","Perry, TN",47135,"TN",8.65,38404
"2155","Pershing, NV",32027,"NV",10.31,39688
"2156","Person, NC",37145,"NC",15.71,46879
"2157","Petroleum, MT",30069,"MT",26.48,31503
"2158","Pettis, MO",29159,"MO",18.47,43693
"2159","Phelps, MO",29161,"MO",29.92,44205
"2160","Phelps, NE",31137,"NE",25.57,63430
"2161","Philadelphia, PA",42101,"PA",31.23,60869
"2162","Phillips, AR",5107,"AR",15.49,45497
"2163","Phillips, CO",8095,"CO",25.46,50382
"2164","Phillips, KS",20147,"KS",23.19,64720
"2165","Phillips, MT",30071,"MT",18.16,44926
"2166","Piatt, IL",17147,"IL",29.82,63905
"2167","Pickaway, OH",39129,"OH",18.63,49425
"2168","Pickens, AL",1107,"AL",14.42,43039
"2169","Pickens, GA",13227,"GA",22.67,55398
"2170","Pickens, SC",45077,"SC",26.8,43842
"2171","Pickett, TN",47137,"TN",13.52,45308
"2172","Pierce, GA",13229,"GA",13.36,41882
"2173","Pierce, ND",38069,"ND",27.89,66733
"2174","Pierce, NE",31139,"NE",24.47,68647
"2175","Pierce, WA",53053,"WA",27.69,61580
"2176","Pierce, WI",55093,"WI",29.88,54429
"2177","Pike, AL",1109,"AL",29.63,44659
"2178","Pike, AR",5109,"AR",18.31,40806
"2179","Pike, GA",13231,"GA",19.45,48643
"2180","Pike, IL",17149,"IL",15.56,54377
"2181","Pike, IN",18125,"IN",15.47,47977
"2182","Pike, KY",21195,"KY",13.91,42691
"2183","Pike, MO",29163,"MO",15,42546
"2184","Pike, MS",28113,"MS",16.03,37461
"2185","Pike, OH",39131,"OH",14.21,46730
"2186","Pike, PA",42103,"PA",27.06,56008
"2187","Pima, AZ",4019,"AZ",33.63,52942
"2188","Pinal, AZ",4021,"AZ",20.9,43793
"2189","Pine, MN",27115,"MN",15.29,45538
"2190","Pinellas, FL",12103,"FL",32.49,65936
"2191","Pipestone, MN",27117,"MN",19.31,61106
"2192","Piscataquis, ME",23021,"ME",18.71,48987
"2193","Pitkin, CO",8097,"CO",61.17,198939
