country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Trinidad and Tobago,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tunisia,-0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,-0.03,-0.01,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00
Turkey*,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79.23,164.31,160.10,9.37,-13.59,-138.46,187.72,-76.60,65.02,163.14,-58.61,129.10
Turkey,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.93,51.44,125.56,15.57,-0.40,147.60
Ukraine,8.30,-3.73,-3.42,8.09,0.93,0.84,0.53,0.44,0.53,0.50,7.43,6.84,-18.66,3.73,-1.87,0.00,-1.24,0.93,0.93,0.93,0.00
United Arab Emirates,0.00,-12.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.50,-0.08,0.21,-0.13,15.00,35.11,-2.17,24.52
United Kingdom,-41.38,-0.65,-0.97,-1.44,-0.56,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00
United States,0.00,-14.11,1.24,-1.11,-1.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,-0.01
Uruguay,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,-0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Uzbekistan, Rep. of",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.28,57.23,37.01,17.11,7.78,18.66,-19.28,-3.42,29.55,33.90
"Venezuela, Republica Bolivariana de",-11.82,28.30,0.62,-0.62,0.31,-0.31,-0.31,4.35,4.98,0.00,0.00,1.87,-6.62,-88.10,-86.02,-24.73,-0.95,0.00,0.00,0.00,0.00
"Yemen, Republic of",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Zambia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.00
Zimbabwe,-1.77,-0.59,-3.01,-0.79,0.00,0.70,-0.47,-0.23,0.00,0.02,0.00,-0.01,0.00,0.47,-0.47,0.00,0.00,0.00,0.01,0.01,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
